substance_detected,count,Description
"SULFAMETHOXAZOLE,CHLORPHENIRAMINE,METRONIDAZOLE,TRIMETHOPRIM,GRISEOFULVIN",1,"Ingredient's risk: Potential carcinogen. Common uses: Topical treatment for rosacea and infections. Banned / monitored: Prescription-only use. Ingredient's risk: Allergic reactions, resistance. Common uses: Antibiotics. Banned / monitored: Prescription drugs. Ingredient's risk: Drowsiness, interaction with alcohol. Common uses: Allergy medication. Banned / monitored: OTC limits apply."
"MENTHOL,METHYL SALICYLATE,THYMOL",1,"Ingredient's risk: Irritation in high concentrations. Common uses: Mouthwash, balms. Banned / monitored: Concentration monitored. Ingredient's risk: Toxic if ingested, skin irritation. Common uses: Topical pain relief. Banned / monitored: Concentration restrictions."
METHYL SALICYLATE,1,"Ingredient's risk: Toxic if ingested, skin irritation. Common uses: Topical pain relief. Banned / monitored: Concentration restrictions."
"MERCURY,MERCURY",1,Ingredient's risk: Toxic to kidneys and nervous system. Common uses: Skin lightening products. Banned / monitored: Banned in cosmetics in most countries.
"HYDROQUINONE,TRETNON",1,"Ingredient's risk: May cause ochronosis, potential carcinogen. Common uses: Treat hyperpigmentation and melasma. Banned / monitored: Restricted or banned in EU and some countries. Ingredient's risk: Skin irritation, birth defect risk. Common uses: Acne and anti-aging creams. Banned / monitored: Prescription-only in many countries."
CLINDAMYCIN,1,Ingredient's risk: May lead to antibiotic resistance. Common uses: Acne treatment. Banned / monitored: Prescription-only ingredient.
"TRETNON,HYDROQUINONE,MERCURY",1,"Ingredient's risk: Toxic to kidneys and nervous system. Common uses: Skin lightening products. Banned / monitored: Banned in cosmetics in most countries. Ingredient's risk: May cause ochronosis, potential carcinogen. Common uses: Treat hyperpigmentation and melasma. Banned / monitored: Restricted or banned in EU and some countries. Ingredient's risk: Skin irritation, birth defect risk. Common uses: Acne and anti-aging creams. Banned / monitored: Prescription-only in many countries."
"HYDROQUINONE,HYDROQUINONE",1,"Ingredient's risk: May cause ochronosis, potential carcinogen. Common uses: Treat hyperpigmentation and melasma. Banned / monitored: Restricted or banned in EU and some countries."
"TRETINOIN,HYDROQUINONE,STEROID",1,"Ingredient's risk: May cause ochronosis, potential carcinogen. Common uses: Treat hyperpigmentation and melasma. Banned / monitored: Restricted or banned in EU and some countries. Ingredient's risk: Skin irritation, birth defect risk. Common uses: Acne and anti-aging creams. Banned / monitored: Prescription-only in many countries. Ingredient's risk: Skin thinning, hormonal side effects. Common uses: Eczema, dermatitis, anti-inflammatory use. Banned / monitored: Restricted for OTC use."
"TRETINOIN,STEROID,HYDROQUINONE",1,"Ingredient's risk: May cause ochronosis, potential carcinogen. Common uses: Treat hyperpigmentation and melasma. Banned / monitored: Restricted or banned in EU and some countries. Ingredient's risk: Skin irritation, birth defect risk. Common uses: Acne and anti-aging creams. Banned / monitored: Prescription-only in many countries. Ingredient's risk: Skin thinning, hormonal side effects. Common uses: Eczema, dermatitis, anti-inflammatory use. Banned / monitored: Restricted for OTC use."
METRONIDAZOLE,1,Ingredient's risk: Potential carcinogen. Common uses: Topical treatment for rosacea and infections. Banned / monitored: Prescription-only use.
AZELAIC ACID,1,Ingredient's risk: Mild irritation. Common uses: Rosacea and acne treatments. Banned / monitored: Prescription-only in some regions.
"SULFAMETHOXAZOLE,KETOCONAZOLE,CHLORAMPHENICOL,TRIMETHOPRIM",1,"Ingredient's risk: Allergic reactions, resistance. Common uses: Antibiotics. Banned / monitored: Prescription drugs. Ingredient's risk: Liver toxicity if absorbed systemically. Common uses: Anti-fungal shampoo and creams. Banned / monitored: Banned in oral form in some countries. Ingredient's risk: Bone marrow suppression. Common uses: Eye ointments. Banned / monitored: Heavily restricted."
