notif_no,product,holder,manufacturer,substance_detected,Description
NOT170600522K,ALORA NIGHT GLOWING CREAM,DM BEAUTY RESOURCES,GUANGZHOU SHANG ZHUANG COSMETICS CO. LTD,HYDROQUINONE,"【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions."
NOT170801150K,Apple Diamond Day Loose,GLOWING EXPERT APPLE DIAMOND,Yamni Industry,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT190904416K,ARMILA BEAUTY KAK ELL PIGMENT BOOSTER,ARMILA BERHAD,GUANG-DING CORPORATION,STEROID,"【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products."
NOT200205124K,AS'S BEAUTY NIGHT CREAM,ASS BEAUTY ENTERPRISE,"IREAL PLUS (THAILAND) CO., LTD.",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT170804496K,Asdanne Whitening Freckle Day Cream,YS Medicals Sdn. Bhd.,"BEAUTY COSMETIC CO., LTD",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT151204804K,AURA GORGEOUS NIGHT CREAM,AURA GORGEOUS BEAUTY & HEALTHY,ANFA INTERNATIONAL LABORATOIRES,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT180103663K,Bao Fu Ling Skincare Cream,AMG Wellness Sdn. Bhd.,"Yantai Baofuling Biotechnology Co., Ltd.",DIPHENHYDRAMINE,"【DIPHENHYDRAMINE】Ingredient's risk: Drowsiness, dizziness, dry mouth, can interact with other medications and cause overdose. Common uses: Anti-itch creams, allergy relief products, sleep aids. Banned / monitored: Restricted concentration in over-the-counter products, requires warnings on labels."
NOT180202851K,Bao Fu Ling Snow Lotus Cream 15g,BAO FU LING GLOBAL ENTERPRISE SDN. BHD.,"Beijing Bao Shu Tang Sci-Tech Pharmaceutical Co., Ltd.",DIPHENHYDRAMINE,"【DIPHENHYDRAMINE】Ingredient's risk: Drowsiness, dizziness, dry mouth, can interact with other medications and cause overdose. Common uses: Anti-itch creams, allergy relief products, sleep aids. Banned / monitored: Restricted concentration in over-the-counter products, requires warnings on labels."
NOT191200526K,BB GLOW SOUL CREAM,NH BIZ RESOURCES,ATHENA(GUANGZHOU) COSMETICS MANUFACTURER CO. LTD.,HYDROQUINONE AND TRETINOIN,"【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
NOT201107589K,BEAUTE TREATMENT CREAM,NH BIZ RESOURCES,"IREAL PLUS (THAILAND) CO., LTD.","HYDROQUINONE,TRETINOIN,STEROID","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics. || 【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products."
NOT190900489K,BEAUTY SLEEP TREATMENT CREAM,NH BIZ RESOURCES,"GUANGZHOU BITING COSMETIC CO., LTD.",HYDROQUINONE AND TRETINOIN,"【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
NOT190907469K,BEAUTYWISE REJUVENATING TONER,CBB BEAUTYWISE GLOBAL,GLOWCAL MANUFACTURING CORP.,HYDROQUINONE AND TRETINOIN,"【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
NOT220707389K,BESTIE MOISTURIZER CREAM,KARISMA EMPAYAR SDN. BHD.,"IREAL PLUS (THAILAND) CO., LTD.",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT200604601K,BIELA BEAUTY GLOWING NIGHT CREAM,BE FLAWLESS HQ MARKETING,PT. ADEV NATURAL INDONESIA,"MERCURY,MERCURY","【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT220601259K,BL LEDEHH DAY CREAM 1,BL MIRA VENTURES,"Skin Care Products (Thailand) Co., Ltd.","HYDROQUINONE,TRETINOIN","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
NOT190200461K,BL SKINCARE DAY CREAM 2,BL MIRA VENTURES,"Skin Care Products (Thailand) Co., Ltd.",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT190200462K,BL SKINCARE NIGHT CREAM,BL MIRA VENTURES,"Skin Care Products (Thailand) Co., Ltd.",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT190806808K,Brilliant Skin Essentials Rejuvenating Facial Cream,BRILLIANT SKIN ESSENTIALS TRADING,SBG MANUFACTURING INC.,HYDROQUINONE AND TRETINOIN,"【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
NOT190808060K,Brilliant Skin Essentials Whitening Facial Cream,BRILLIANT SKIN ESSENTIALS TRADING,SBG MANUFACTURING INC.,TRETNON,"【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
NOT211005337K,BUBBLE   BELLY    MULTI PURPOSE    ESSENCE,DTS SKINCARE  INDUSTRIES  SDN.BHD,DTS SKINCARE  INDUSTRIES  SDN.BHD,METHYL SALICYLATE,"【METHYL SALICYLATE】Ingredient's risk: Highly toxic if ingested, can cause salicylate poisoning, skin irritation and burns in high concentrations. Common uses: Topical pain relief creams, sports rubs, wintergreen-scented products. Banned / monitored: Strict concentration restrictions, requires child-resistant packaging and warnings."
NOT221102979K,BUBBLE BELLY BODY OIL SERUM,REINO GLOBAL SDN. BHD.,M/S. ARGION COSMED INDIA PVT LTD,"MENTHOL,METHYL SALICYLATE,THYMOL","【MENTHOL】Ingredient's risk: Can cause severe irritation and chemical burns in high concentrations, respiratory issues if inhaled excessively. Common uses: Cooling gels, pain relief balms, mouthwash, throat lozenges. Banned / monitored: Concentration limits enforced, restricted in products for children under 2 years. || 【THYMOL】Ingredient's risk: Skin and mucous membrane irritation, can cause allergic contact dermatitis, toxic if ingested in large amounts. Common uses: Antiseptic mouthwash, natural preservative, antimicrobial agent. Banned / monitored: Concentration monitored, restricted in oral care products. || 【METHYL SALICYLATE】Ingredient's risk: Highly toxic if ingested, can cause salicylate poisoning, skin irritation and burns in high concentrations. Common uses: Topical pain relief creams, sports rubs, wintergreen-scented products. Banned / monitored: Strict concentration restrictions, requires child-resistant packaging and warnings."
NOT180802788K,CLAIR DE LUNE - P.TUBEROSE DAY CREAM,LAURUSTINUS SDN. BHD.,Hung Choy Cosmetics Manufacturing Co Ltd,"TRIMETHOPRIM,SULFAMETHOXAZOLE,KETOCONAZOLE,CHLORAMPHENICOL","【TRIMETHOPRIM】Ingredient's risk: Severe allergic reactions, antibiotic resistance, kidney damage, blood disorders. Common uses: Antibiotic for treating bacterial infections. Banned / monitored: Prescription-only drug, completely banned in cosmetic and food products. || 【SULFAMETHOXAZOLE】Ingredient's risk: Severe allergic reactions including Stevens-Johnson syndrome, antibiotic resistance, kidney and liver damage. Common uses: Antibiotic combination for treating bacterial infections. Banned / monitored: Prescription-only drug, completely banned in cosmetic and food products. || 【KETOCONAZOLE】Ingredient's risk: Liver toxicity, hormonal disruption, can cause hepatitis and adrenal insufficiency if absorbed systemically. Common uses: Anti-dandruff shampoos, antifungal creams for skin conditions. Banned / monitored: Oral form banned in many countries, topical use restricted with warnings. || 【CHLORAMPHENICOL】Ingredient's risk: Bone marrow suppression, potentially fatal aplastic anemia, gray baby syndrome in infants. Common uses: Eye ointments and drops for bacterial infections. Banned / monitored: Heavily restricted, banned in food products, prescription-only with severe warnings."
NOT180802789K,CLAIR DE LUNE - S.INVOLUCRATA NIGHT CREAM,LAURUSTINUS SDN. BHD.,Hung Choy Cosmetics Manufacturing Co Ltd,"SULFAMETHOXAZOLE,CHLORPHENIRAMINE,METRONIDAZOLE,TRIMETHOPRIM,GRISEOFULVIN","【METRONIDAZOLE】Ingredient's risk: Potential carcinogen, can cause nausea, metallic taste, nerve damage with prolonged use. Common uses: Treatment of rosacea, bacterial and parasitic skin infections. Banned / monitored: Prescription-only antibiotic, banned in food and cosmetic products in many countries. || 【TRIMETHOPRIM】Ingredient's risk: Severe allergic reactions, antibiotic resistance, kidney damage, blood disorders. Common uses: Antibiotic for treating bacterial infections. Banned / monitored: Prescription-only drug, completely banned in cosmetic and food products. || 【SULFAMETHOXAZOLE】Ingredient's risk: Severe allergic reactions including Stevens-Johnson syndrome, antibiotic resistance, kidney and liver damage. Common uses: Antibiotic combination for treating bacterial infections. Banned / monitored: Prescription-only drug, completely banned in cosmetic and food products. || 【CHLORPHENIRAMINE】Ingredient's risk: Drowsiness, dizziness, dry mouth, can interact dangerously with alcohol and other medications. Common uses: Allergy medications, cold and flu remedies, anti-itch products. Banned / monitored: Over-the-counter limits apply, requires clear dosage warnings. || 【GRISEOFULVIN】Ingredient's risk: Potential carcinogen, liver toxicity, can cause severe headaches and photosensitivity reactions. Common uses: Oral antifungal medication for nail and scalp infections. Banned / monitored: Prescription-only drug, banned in cosmetic and topical products."
NOT220501104K,CLEMIRA CARE CREAM,CLEMIRA GROUP TRADING,KM COMPANY INC.,MICONAZOLE,"【MICONAZOLE】Ingredient's risk: May cause antifungal resistance, skin irritation, allergic reactions in sensitive individuals. Common uses: Antifungal creams for athlete's foot, jock itch, and yeast infections. Banned / monitored: Generally approved but with concentration limits and specific usage guidelines."
NOT191203847K,DEEJA COSMETIC LAILA CREAM,TWIN RICH SOLUTION,TOP ON COSMETICS INDUSTRIES,"STEROID,MERCURY","【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body. || 【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products."
NOT171004771K,DEEJA COSMETIC STAR CREAM,LIMAJARI MARKETING,TOP ON COSMETICS INDUSTRIES,"TRETNON,HYDROQUINONE","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
NOT190108080K,DEEJA COSMETICS ZULAI CREAM,TWIN RICH SOLUTION,TOP ON COSMETICS INDUSTRIES,HYDROQUINONE,"【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions."
NOT180105344K,DEEJA WRINKLE CREAM,LIMAJARI MARKETING,TOP ON COSMETICS INDUSTRIES,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT181002913K,DNARS GOLD BALEN CREAM (NIGHT),ROHBAN TRADE SDN. BHD.,TOP ON COSMETICS INDUSTRIES,"HYDROQUINONE,STEROID","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products."
NOT181002911K,DNARS GOLD GLOWING SERUM (DAY),ROHBAN TRADE SDN. BHD.,TOP ON COSMETICS INDUSTRIES,STEROID,"【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products."
NOT181002912K,DNARS GOLD LIFTHING SERUM (NIGHT),ROHBAN TRADE SDN. BHD.,TOP ON COSMETICS INDUSTRIES,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT180104881K,DNARS GOLDEN CREAM,ROHBAN TRADE SDN. BHD.,TOP ON COSMETICS INDUSTRIES,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT160802315K,DNARS HONEY CREAM,ONEW COSMETICS,Yamni Industry,"HYDROQUINONE,TRETNON","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
NOT190506522K,DNARS LUVEE CREAM,ROHBAN TRADE SDN. BHD.,TOP ON COSMETICS INDUSTRIES,HYDROQUINONE,"【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions."
NOT180104880K,DNARS NIEN CREAM,ROHBAN TRADE SDN. BHD.,TOP ON COSMETICS INDUSTRIES,HYDROQUINONE AND TRETINOIN,"【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
NOT131006026K,DNARS YELLOW GOLD COLLAGEN,ORI HERBS COFFEE MARKETING,Yamni Industry,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT171200081K,DOLLY GLOW MIRACLE TREATMENT CREAM,NH BIZ RESOURCES,Nund Skintech,HYDROQUINONE AND TRETINOIN,"【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
NOT180205661K,FJURA - FACE POLISH TREATMENT,THEFJURA MARKETING ,KARVY MANUFACTURING INTERNATIONAL (PAKISTAN) PVT LTD,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT220301718K,FLASHHSKINZZ MOIST SUNSCREEN,FLASHH SKINZZ BEAUTY TRADING,"IREAL PLUS (THAILAND) CO., LTD.",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT220301716K,FLASHHSKINZZ NIGHT CREAM,FLASHH SKINZZ BEAUTY TRADING,"IREAL PLUS (THAILAND) CO., LTD.",HYDROQUINONE,"【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions."
NOT220301717K,FLASHHSKINZZ TREATMENT CREAM,FLASHH SKINZZ BEAUTY TRADING,"IREAL PLUS (THAILAND) CO., LTD.",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
